"key"	"id"	"title"	"film_url"	"character"	"release_year"	"poster_url"	"poster_file"	"additional_info"
"crymacho"	"CE01"	"Cry Macho"	"https://www.imdb.com/title/tt1924245/?ref_=nm_flmg_t_1_act"	"Mike Milo"	"2021"	"Clint%20Eastwood%20-%20IMDb_files/MV5BOGQ5OTBkNzAtYWQxYy00YjIxLWJkNTAtNTM2NDMxYzdkZDVmXkEyXkFq.jpg"	"posters//posterCE01.jpg"	"Cry Macho;Mike Milo"
"themule"	"CE02"	"The Mule"	"https://www.imdb.com/title/tt7959026/?ref_=nm_flmg_t_2_act"	"Earl Stone"	"2018"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTc1OTc5NzA4OF5BMl5BanBnXkFtZTgwOTAzMzE2NjM@._V1_QL7_002.jpg"	"posters//posterCE02.jpg"	"The Mule;Earl Stone"
"americansniper"	"CE03"	"American Sniper"	"https://www.imdb.com/title/tt2179136/?ref_=nm_flmg_t_3_act"	"Church Goer"	"2014"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTkxNzI3ODI4Nl5BMl5BanBnXkFtZTgwMjkwMjY4MjE@._V1_QL75_UX.jpg"	"posters//posterCE03.jpg"	"American Sniper;Church Goer (uncredited)"
"troublewiththecurve"	"CE04"	"Trouble with the Curve"	"https://www.imdb.com/title/tt2083383/?ref_=nm_flmg_t_4_act"	"Gus"	"2012"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTUwNjMyMzQ3M15BMl5BanBnXkFtZTcwMjcwNDMyOA@@._V1_QL75_UY.jpg"	"posters//posterCE04.jpg"	"Trouble with the Curve;Gus"
"grantorino"	"CE05"	"Gran Torino"	"https://www.imdb.com/title/tt1205489/?ref_=nm_flmg_t_5_act"	"Walt Kowalski"	"2008"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_QL7_002.jpg"	"posters//posterCE05.jpg"	"Gran Torino;Walt Kowalski"
"milliondollarbaby"	"CE06"	"Million Dollar Baby"	"https://www.imdb.com/title/tt0405159/?ref_=nm_flmg_t_6_act"	"Frankie Dunn"	"2004"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_QL7_002.jpg"	"posters//posterCE06.jpg"	"Million Dollar Baby;Frankie Dunn"
"bloodwork"	"CE07"	"Blood Work"	"https://www.imdb.com/title/tt0309377/?ref_=nm_flmg_t_7_act"	"Terry McCaleb"	"2002"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTIxMDMzMDk1NV5BMl5BanBnXkFtZTYwNzgxNDY3._V1_QL75_UY133_.jpg"	"posters//posterCE07.jpg"	"Blood Work;Terry McCaleb"
"spacecowboys"	"CE08"	"Space Cowboys"	"https://www.imdb.com/title/tt0186566/?ref_=nm_flmg_t_8_act"	"Frank Corvin"	"2000"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTk4NzAwOTkwMF5BMl5BanBnXkFtZTYwMDM3MTM3._V1_QL75_UX90_C.jpg"	"posters//posterCE08.jpg"	"Space Cowboys;Frank Corvin"
"truecrime"	"CE09"	"True Crime"	"https://www.imdb.com/title/tt0139668/?ref_=nm_flmg_t_9_act"	"Steve Everett"	"1999"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNzYxMzJlNTUtYzBiNi00NWJmLThmOTAtYTMyYjdlY2Y4YzE0XkEyXkFq.jpg"	"posters//posterCE09.jpg"	"True Crime;Steve Everett"
"absolutepower"	"CE10"	"Absolute Power"	"https://www.imdb.com/title/tt0118548/?ref_=nm_flmg_t_10_act"	"Luther Whitney"	"1997"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNDFlNTZmOGYtYmE0ZC00OTE4LWI5YzctNmZmZDU3M2ZiMmI4XkEyXkFq.jpg"	"posters//posterCE10.jpg"	"Absolute Power;Luther Whitney"
